ticket_id,producto_id,cantidad
TK_0000001,PROD_00002,2
TK_0000001,PROD_00014,3.327
TK_0000001,PROD_00467,4
TK_0000001,PROD_00103,2
TK_0000001,PROD_00396,1
TK_0000001,PROD_00448,4
TK_0000001,PROD_00144,4
TK_0000001,PROD_00497,3
TK_0000002,PROD_00109,4
TK_0000002,PROD_00315,4
TK_0000002,PROD_00049,2
TK_0000002,PROD_00365,5
TK_0000002,PROD_00483,2
TK_0000002,PROD_00299,1.338
TK_0000002,PROD_00464,5
TK_0000003,PROD_00115,5
TK_0000003,PROD_00445,0.629
TK_0000003,PROD_00037,3
TK_0000003,PROD_00458,3.356
TK_0000003,PROD_00232,1
TK_0000003,PROD_00005,3
TK_0000003,PROD_00094,1.735
TK_0000003,PROD_00358,2.739
TK_0000003,PROD_00264,5
TK_0000003,PROD_00081,1
TK_0000003,PROD_00454,1.188
TK_0000003,PROD_00246,4
TK_0000003,PROD_00387,3
TK_0000004,PROD_00128,3
TK_0000004,PROD_00211,2
TK_0000004,PROD_00183,0.625
TK_0000004,PROD_00127,4
TK_0000004,PROD_00035,1
TK_0000005,PROD_00276,2
TK_0000005,PROD_00186,5
TK_0000005,PROD_00474,0.935
TK_0000005,PROD_00371,4
TK_0000005,PROD_00300,2.161
TK_0000005,PROD_00432,3
TK_0000005,PROD_00146,2
TK_0000005,PROD_00290,5
TK_0000005,PROD_00217,2
TK_0000005,PROD_00133,2
TK_0000005,PROD_00338,5
TK_0000005,PROD_00424,1
TK_0000005,PROD_00450,2
TK_0000006,PROD_00267,2
TK_0000006,PROD_00413,2
TK_0000006,PROD_00017,2
TK_0000006,PROD_00279,5
TK_0000006,PROD_00409,2
TK_0000006,PROD_00491,4
TK_0000006,PROD_00447,5
TK_0000006,PROD_00463,2.315
TK_0000006,PROD_00247,2
TK_0000006,PROD_00278,0.722
TK_0000007,PROD_00341,4
TK_0000007,PROD_00487,3
TK_0000007,PROD_00438,3
TK_0000007,PROD_00493,5
TK_0000007,PROD_00003,3
TK_0000007,PROD_00125,2.527
TK_0000007,PROD_00237,3
TK_0000007,PROD_00344,5
TK_0000007,PROD_00450,2
TK_0000008,PROD_00280,4
TK_0000008,PROD_00330,2
TK_0000008,PROD_00078,1.95
TK_0000008,PROD_00332,4
TK_0000008,PROD_00248,3
TK_0000008,PROD_00268,2
TK_0000008,PROD_00409,2
TK_0000008,PROD_00009,5
TK_0000008,PROD_00162,1.406
TK_0000008,PROD_00022,1.712
TK_0000008,PROD_00171,4
TK_0000009,PROD_00143,1
TK_0000009,PROD_00404,3
TK_0000009,PROD_00194,2
TK_0000009,PROD_00468,5
TK_0000009,PROD_00346,5
TK_0000009,PROD_00150,0.815
TK_0000009,PROD_00280,4
TK_0000009,PROD_00406,1.472
TK_0000009,PROD_00116,3
TK_0000010,PROD_00342,3
TK_0000010,PROD_00021,5
TK_0000010,PROD_00403,2
TK_0000010,PROD_00477,2
TK_0000010,PROD_00392,2
TK_0000010,PROD_00158,1
TK_0000011,PROD_00036,3
TK_0000011,PROD_00388,3
TK_0000011,PROD_00347,0.957
TK_0000011,PROD_00332,2
TK_0000011,PROD_00453,5
TK_0000011,PROD_00444,4
TK_0000011,PROD_00227,4
TK_0000011,PROD_00251,1.937
TK_0000011,PROD_00139,1
TK_0000011,PROD_00171,2
TK_0000012,PROD_00442,4
TK_0000012,PROD_00085,4
TK_0000012,PROD_00147,3
TK_0000012,PROD_00355,1
TK_0000012,PROD_00384,3
TK_0000012,PROD_00177,1
TK_0000012,PROD_00331,4
TK_0000012,PROD_00436,1.559
TK_0000012,PROD_00353,5
TK_0000012,PROD_00158,4
TK_0000012,PROD_00500,3
TK_0000012,PROD_00477,1
TK_0000013,PROD_00079,2.649
TK_0000013,PROD_00356,1
TK_0000013,PROD_00273,3.022
TK_0000013,PROD_00369,3
TK_0000013,PROD_00277,1
TK_0000013,PROD_00354,2
TK_0000013,PROD_00247,3
TK_0000013,PROD_00002,3
TK_0000013,PROD_00303,1
TK_0000014,PROD_00130,5
TK_0000014,PROD_00155,3
TK_0000014,PROD_00267,2
TK_0000014,PROD_00214,1
TK_0000014,PROD_00401,3
TK_0000014,PROD_00305,5
TK_0000014,PROD_00112,1
TK_0000014,PROD_00296,1
TK_0000014,PROD_00328,5
TK_0000014,PROD_00047,4
TK_0000014,PROD_00105,3
TK_0000014,PROD_00449,1
TK_0000015,PROD_00241,3
TK_0000015,PROD_00425,4
TK_0000015,PROD_00228,0.976
TK_0000015,PROD_00112,1
TK_0000015,PROD_00412,2
TK_0000015,PROD_00217,3
TK_0000015,PROD_00406,1.194
TK_0000015,PROD_00450,2
TK_0000016,PROD_00322,5
TK_0000016,PROD_00329,2
TK_0000016,PROD_00090,4
TK_0000016,PROD_00106,2
TK_0000016,PROD_00201,5
TK_0000016,PROD_00275,4
TK_0000016,PROD_00043,4
TK_0000016,PROD_00270,1
TK_0000016,PROD_00328,2
TK_0000016,PROD_00258,1.08
TK_0000016,PROD_00101,5
TK_0000016,PROD_00360,3
TK_0000017,PROD_00143,3
TK_0000017,PROD_00313,2.159
TK_0000017,PROD_00445,1.369
TK_0000017,PROD_00055,5
TK_0000017,PROD_00421,2
TK_0000017,PROD_00127,4
TK_0000017,PROD_00132,1
TK_0000017,PROD_00223,5
TK_0000017,PROD_00356,3
TK_0000017,PROD_00360,2
TK_0000018,PROD_00334,2.284
TK_0000018,PROD_00387,2
TK_0000018,PROD_00255,4
TK_0000018,PROD_00063,1
TK_0000018,PROD_00341,1
TK_0000018,PROD_00449,5
TK_0000018,PROD_00378,4
TK_0000018,PROD_00005,1
TK_0000019,PROD_00033,1.752
TK_0000019,PROD_00320,3
TK_0000019,PROD_00485,5
TK_0000019,PROD_00326,1
TK_0000019,PROD_00356,2
TK_0000020,PROD_00489,1
TK_0000020,PROD_00132,3
TK_0000020,PROD_00295,2
TK_0000020,PROD_00009,1
TK_0000020,PROD_00282,2.839
TK_0000020,PROD_00390,2.795
TK_0000020,PROD_00354,3
TK_0000020,PROD_00215,4
TK_0000020,PROD_00135,3
TK_0000020,PROD_00306,1
TK_0000020,PROD_00272,4
TK_0000020,PROD_00155,1
TK_0000020,PROD_00028,5
TK_0000021,PROD_00377,1.459
TK_0000021,PROD_00340,5
TK_0000021,PROD_00350,4
TK_0000021,PROD_00372,3
TK_0000021,PROD_00032,3
TK_0000021,PROD_00082,4
TK_0000022,PROD_00188,2
TK_0000022,PROD_00496,5
