producto_id_1,producto_id_2
PROD_00007,PROD_00162
PROD_00008,PROD_00491
PROD_00009,PROD_00073
PROD_00010,PROD_00149
PROD_00012,PROD_00121
PROD_00013,PROD_00433
PROD_00016,PROD_00366
PROD_00017,PROD_00289
PROD_00020,PROD_00441
PROD_00022,PROD_00183
PROD_00029,PROD_00081
PROD_00031,PROD_00412
PROD_00032,PROD_00333
PROD_00035,PROD_00357
PROD_00036,PROD_00453
PROD_00037,PROD_00016
PROD_00043,PROD_00019
PROD_00046,PROD_00214
PROD_00048,PROD_00313
PROD_00050,PROD_00036
PROD_00051,PROD_00440
PROD_00052,PROD_00175
PROD_00057,PROD_00243
PROD_00058,PROD_00112
PROD_00060,PROD_00492
PROD_00061,PROD_00033
PROD_00062,PROD_00233
PROD_00076,PROD_00110
PROD_00077,PROD_00300
PROD_00078,PROD_00390
PROD_00079,PROD_00094
PROD_00082,PROD_00266
PROD_00086,PROD_00017
PROD_00087,PROD_00060
PROD_00088,PROD_00243
PROD_00090,PROD_00072
PROD_00094,PROD_00207
PROD_00095,PROD_00139
PROD_00097,PROD_00271
PROD_00102,PROD_00366
PROD_00104,PROD_00115
PROD_00110,PROD_00023
PROD_00111,PROD_00042
PROD_00112,PROD_00295
PROD_00114,PROD_00384
PROD_00115,PROD_00084
PROD_00117,PROD_00252
PROD_00118,PROD_00039
PROD_00120,PROD_00367
PROD_00121,PROD_00421
PROD_00122,PROD_00012
PROD_00127,PROD_00374
PROD_00128,PROD_00449
PROD_00130,PROD_00270
PROD_00133,PROD_00130
PROD_00134,PROD_00094
PROD_00138,PROD_00453
PROD_00139,PROD_00265
PROD_00145,PROD_00472
PROD_00146,PROD_00154
PROD_00151,PROD_00485
PROD_00155,PROD_00270
PROD_00157,PROD_00284
PROD_00159,PROD_00190
PROD_00160,PROD_00300
PROD_00161,PROD_00444
PROD_00163,PROD_00278
PROD_00167,PROD_00327
PROD_00169,PROD_00113
PROD_00170,PROD_00233
PROD_00173,PROD_00140
PROD_00174,PROD_00074
PROD_00175,PROD_00349
PROD_00182,PROD_00222
PROD_00184,PROD_00173
PROD_00186,PROD_00400
PROD_00187,PROD_00441
PROD_00189,PROD_00419
PROD_00190,PROD_00464
PROD_00196,PROD_00030
PROD_00198,PROD_00357
PROD_00199,PROD_00367
PROD_00202,PROD_00040
PROD_00204,PROD_00383
PROD_00206,PROD_00413
PROD_00211,PROD_00325
PROD_00212,PROD_00197
PROD_00216,PROD_00327
PROD_00217,PROD_00144
PROD_00218,PROD_00329
PROD_00221,PROD_00481
PROD_00224,PROD_00339
PROD_00226,PROD_00063
PROD_00230,PROD_00026
PROD_00244,PROD_00414
PROD_00245,PROD_00172
PROD_00246,PROD_00290
PROD_00251,PROD_00170
PROD_00254,PROD_00312
PROD_00255,PROD_00451
PROD_00256,PROD_00404
PROD_00258,PROD_00297
PROD_00259,PROD_00096
PROD_00263,PROD_00029
PROD_00265,PROD_00448
PROD_00267,PROD_00477
PROD_00268,PROD_00440
PROD_00269,PROD_00448
PROD_00271,PROD_00397
PROD_00272,PROD_00066
PROD_00275,PROD_00438
PROD_00280,PROD_00344
PROD_00281,PROD_00445
PROD_00284,PROD_00053
PROD_00288,PROD_00410
PROD_00290,PROD_00427
PROD_00293,PROD_00067
PROD_00296,PROD_00435
PROD_00303,PROD_00141
PROD_00305,PROD_00147
PROD_00306,PROD_00413
PROD_00307,PROD_00457
PROD_00308,PROD_00113
PROD_00310,PROD_00127
PROD_00311,PROD_00163
PROD_00312,PROD_00415
PROD_00313,PROD_00458
PROD_00317,PROD_00064
PROD_00321,PROD_00365
PROD_00322,PROD_00368
PROD_00327,PROD_00142
PROD_00329,PROD_00489
PROD_00330,PROD_00432
PROD_00331,PROD_00316
PROD_00338,PROD_00279
PROD_00340,PROD_00266
PROD_00341,PROD_00431
PROD_00344,PROD_00153
PROD_00345,PROD_00417
PROD_00346,PROD_00315
PROD_00347,PROD_00184
PROD_00352,PROD_00030
PROD_00353,PROD_00005
PROD_00355,PROD_00049
PROD_00359,PROD_00072
PROD_00360,PROD_00263
PROD_00362,PROD_00288
PROD_00366,PROD_00144
PROD_00367,PROD_00301
PROD_00370,PROD_00008
PROD_00371,PROD_00285
PROD_00375,PROD_00068
PROD_00376,PROD_00214
PROD_00380,PROD_00489
PROD_00385,PROD_00082
PROD_00388,PROD_00092
PROD_00394,PROD_00241
PROD_00396,PROD_00425
PROD_00401,PROD_00269
PROD_00407,PROD_00412
PROD_00410,PROD_00488
PROD_00412,PROD_00321
PROD_00420,PROD_00366
PROD_00423,PROD_00425
PROD_00424,PROD_00495
PROD_00430,PROD_00483
PROD_00432,PROD_00250
PROD_00438,PROD_00214
PROD_00440,PROD_00132
PROD_00444,PROD_00013
PROD_00446,PROD_00293
PROD_00463,PROD_00231
PROD_00466,PROD_00339
PROD_00467,PROD_00052
PROD_00472,PROD_00077
PROD_00475,PROD_00182
PROD_00476,PROD_00267
PROD_00477,PROD_00375
PROD_00478,PROD_00181
PROD_00479,PROD_00114
PROD_00491,PROD_00142
PROD_00492,PROD_00180
PROD_00493,PROD_00432
PROD_00495,PROD_00460
PROD_00497,PROD_00044
PROD_00498,PROD_00475
